"TAG","TEXT"
"a","Placements"
"li","Contact Us"
"a","Contact Us"
"li","Search"
"form","Search"
"label","Search"
"ul","Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment"
"li","Home"
"a","Home"
"li","Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports"
"a","Institute"
"ul","History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports"
"li","History"
"a","History"
"li","Vision & Mission"
"a","Vision & Mission"
"li","Campus"
"a","Campus"
"li","Location"
"a","Location"
"li","News and Events"
"a","News and Events"
"li","Tenders & Quotations"
"a","Tenders & Quotations"
"li","Balance Sheets"
"a","Balance Sheets"
"li","Rules, Guidelines & Forms"
"a","Rules, Guidelines & Forms"
"li","Faculty Affairs"
"a","Faculty Affairs"
"li","IQAC Reports"
"a","IQAC Reports"
"li","Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"a","Administration"
"ul","Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings"
"li","Board Of Governors"
"a","Board Of Governors"
"li","Chairman, Board of Governors"
"a","Chairman, Board of Governors"
"li","Director"
"a","Director"
"li","Senate Members"
"a","Senate Members"
"li","Building & Works Committee"
"a","Building & Works Committee"
"li","Finance Committee"
"a","Finance Committee"
"li","Grievance Redressal Committee"
"a","Grievance Redressal Committee"
"li","Institute Functionaries"
"a","Institute Functionaries"
"li","Minutes of Meetings"
"a","Minutes of Meetings"
"li","Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal"
"a","Programmes"
"ul","Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal"
"li","Undergraduate"
"a","Undergraduate"
"li","Postgraduate"
"a","Postgraduate"
"li","Doctorate"
"a","Doctorate"
"li","Academic Support for Students"
"a","Academic Support for Students"
"li","Accreditation"
"a","Accreditation"
"li","Scholarships"
"a","Scholarships"
"li","IQAC Reports"
"a","IQAC Reports"
"li","E-Academic Portal"
"a","E-Academic Portal"
"li","Admissions"
"a","Admissions"
"li","Academic Units Departments Centres"
"a","Academic Units"
"ul","Departments Centres"
"li","Departments"
"a","Departments"
"li","Centres"
"a","Centres"
"li","Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts"
"a","Research"
"ul","Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts"
"li","Overview"
"a","Overview"
"li","Research Groups"
"a","Research Groups"
"li","Sponsored Research"
"a","Sponsored Research"
"li","In-House Projects"
"a","In-House Projects"
"li","Consultancy"
"a","Consultancy"
"li","Courses and Conferences"
"a","Courses and Conferences"
"li","Young Research Fellows Programme"
"a","Young Research Fellows Programme"
"li","Norms and Forms"
"a","Norms and Forms"
"li","Contacts"
"a","Contacts"
"li","Campus Life Students Facilities Online Fee Payment"
"a","Campus Life"
"ul","Students Facilities Online Fee Payment"
"li","Students"
"a","Students"
"li","Facilities"
"a","Facilities"
"li","Online Fee Payment"
"a","Online Fee Payment"
"section","-A A +A Career Development & Guidance Centre About the Centre Invitation Message from the Director Message from the Head Placement Procedure Placement Policy Placement Statistics Why Recruit @ PEC? Training and Placement Portal Downloads Facilities for Recruiters Past Recruiters How to Reach PEC Testimonials from Companies Student Placement Committee Important Links FAQ's Contact Us Quick Links Alumni Central Library TEQIP III Admissions Placement Tenders Close modal Career Development & Guidance Centre PEC Placements lead the way � break all records of last Years and bags highest salaries this Year! Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country. The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students. Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum . Centre takes care of : a) Career Development & Guidance Program b) Internship & Full Time Placement Activities c) Facilitate Pre-Placement visits to the companies d) Communication, Networking & Relationship Building with Potential Recruiters. Seminars / Workshops / Events Open House - 2017 (Day-2) Open House - 2017 (Day- 1) Workshop on Entrepreneurship on 10th April'2017 Workshop on Group Discussion for B.E. 2nd year students- March ' 2017 Soft Skill Development Program - ""College to Corporate"" from 6th - 8th March'2017 TCS Best Student Award - 2017 Career Development Workshop by Ciz Disha on 7th Feb '2017 SBI Bank conducted a workshop for the final year students for PO exam - Jan' 2017 Axis bank - launched a campaign for the students - Jan ' 2017 Goldman Sachs conducted a workshop for U.G Students - Dec'2017 Seminar on Motivational Skills- 2017 Seminar on Scholarship to study abroad - 24th October 2016 Seminar on �Options to study In USA"" - 21st October' 2016 Seminar on Scholarship options to study at Abroad on 4th October''2016 Exl services conducted a workshop for 3rd year students in September � 2016 GRE Workshop - 27th Sept'2016 Code Rush 3.0 Programming Challenge - 17th Sept'2016 Workshop on Internship oportunities at International platform was organised on 6th May'2016 Finishing School Workshop on Soft Skills Development was organised for B.E. IInd yr Students on 19th & 20th March'2016 QEEE session - ""Institute to Industry"" organised on 18th March'2016 Workshop on ""Guaranteed Success"" on 19th February '2016 for 1st yr. Production dept. students Seminar on ""Strength of Materials"" for final year students on 18th Feb'2016 Seminar on ""Power of Focus for Students"" on 5th & 10th Feb2016 at 11:00 am Seminar on ""Higer Education in India & Abroad"" on 19th Jan'2016 Seminar on ""Higher Education and Research & Project Opportunities at Binghamton University"" on 30th Nov'2015 GRE Workshop held on 29th Sept'2015 Motivational Workshop & Counsellin Sessions for Ist year M.E. students on 7th ,8th ,9th & 10th Sept'2015 Finishing school Workshop held in the first week of August'2015 Motivational Lecture by Dr.Chhaya Sambharya Prasad on 09th October, 2016 Gallery"
"a","-A"
"sup","-"
"a","A"
"a","+A"
"sup","+"
"h3","Career Development & Guidance Centre"
"span","Career Development & Guidance Centre"
"ul","About the Centre Invitation Message from the Director Message from the Head Placement Procedure Placement Policy Placement Statistics Why Recruit @ PEC? Training and Placement Portal Downloads Facilities for Recruiters Past Recruiters How to Reach PEC Testimonials from Companies Student Placement Committee Important Links FAQ's Contact Us"
"li","About the Centre"
"a","About the Centre"
"li","Invitation"
"a","Invitation"
"li","Message from the Director"
"a","Message from the Director"
"li","Message from the Head"
"a","Message from the Head"
"li","Placement Procedure"
"a","Placement Procedure"
"li","Placement Policy"
"a","Placement Policy"
"li","Placement Statistics"
"a","Placement Statistics"
"li","Why Recruit @ PEC?"
"a","Why Recruit @ PEC?"
"li","Training and Placement Portal"
"a","Training and Placement Portal"
"li","Downloads"
"a","Downloads"
"li","Facilities for Recruiters"
"a","Facilities for Recruiters"
"li","Past Recruiters"
"a","Past Recruiters"
"li","How to Reach PEC"
"a","How to Reach PEC"
"li","Testimonials from Companies"
"a","Testimonials from Companies"
"li","Student Placement Committee"
"a","Student Placement Committee"
"li","Important Links"
"a","Important Links"
"li","FAQ's"
"a","FAQ's"
"li","Contact Us"
"a","Contact Us"
"p","Quick Links"
"a","Quick Links"
"nav","Alumni Central Library TEQIP III Admissions Placement Tenders"
"ul","Alumni Central Library TEQIP III Admissions Placement Tenders"
"li","Alumni"
"a","Alumni"
"li","Central Library"
"a","Central Library"
"li","TEQIP III"
"a","TEQIP III"
"li","Admissions"
"a","Admissions"
"li","Placement"
"a","Placement"
"li","Tenders"
"a","Tenders"
"a","Close modal"
"ul","PEC Placements lead the way � break all records of last Years and bags highest salaries this Year!"
"li","PEC Placements lead the way � break all records of last Years and bags highest salaries this Year!"
"a","PEC Placements lead the way � break all records of last Years and bags highest salaries this Year!"
"strong","PEC Placements lead the way � break all records of last Years and bags highest salaries this Year!"
"p","Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country."
"strong","Career Development & Guidance Centre"
"span","be it engineering, IT, Analytics, Consulting , research and development, Operations etc"
"p","The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students."
"p","Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum ."
"p","Centre takes care of :"
"strong","Centre takes care of :"
"p","a) Career Development & Guidance Program"
"strong","a) Career Development & Guidance Program"
"p","b) Internship & Full Time Placement Activities"
"strong","b) Internship & Full Time Placement Activities"
"p","c) Facilitate Pre-Placement visits to the companies"
"strong","c) Facilitate Pre-Placement visits to the companies"
"p","d) Communication, Networking & Relationship Building with Potential Recruiters."
"strong","d) Communication, Networking & Relationship Building with Potential Recruiters."
"ul","Open House - 2017 (Day-2) Open House - 2017 (Day- 1) Workshop on Entrepreneurship on 10th April'2017 Workshop on Group Discussion for B.E. 2nd year students- March ' 2017 Soft Skill Development Program - ""College to Corporate"" from 6th - 8th March'2017 TCS Best Student Award - 2017 Career Development Workshop by Ciz Disha on 7th Feb '2017 SBI Bank conducted a workshop for the final year students for PO exam - Jan' 2017 Axis bank - launched a campaign for the students - Jan ' 2017 Goldman Sachs conducted a workshop for U.G Students - Dec'2017 Seminar on Motivational Skills- 2017 Seminar on Scholarship to study abroad - 24th October 2016 Seminar on �Options to study In USA"" - 21st October' 2016 Seminar on Scholarship options to study at Abroad on 4th October''2016 Exl services conducted a workshop for 3rd year students in September � 2016 GRE Workshop - 27th Sept'2016 Code Rush 3.0 Programming Challenge - 17th Sept'2016 Workshop on Internship oportunities at International platform was organised on 6th May'2016 Finishing School Workshop on Soft Skills Development was organised for B.E. IInd yr Students on 19th & 20th March'2016 QEEE session - ""Institute to Industry"" organised on 18th March'2016 Workshop on ""Guaranteed Success"" on 19th February '2016 for 1st yr. Production dept. students Seminar on ""Strength of Materials"" for final year students on 18th Feb'2016 Seminar on ""Power of Focus for Students"" on 5th & 10th Feb2016 at 11:00 am Seminar on ""Higer Education in India & Abroad"" on 19th Jan'2016 Seminar on ""Higher Education and Research & Project Opportunities at Binghamton University"" on 30th Nov'2015 GRE Workshop held on 29th Sept'2015 Motivational Workshop & Counsellin Sessions for Ist year M.E. students on 7th ,8th ,9th & 10th Sept'2015 Finishing school Workshop held in the first week of August'2015 Motivational Lecture by Dr.Chhaya Sambharya Prasad on 09th October, 2016"
"li","Open House - 2017 (Day-2)"
"a","Open House - 2017 (Day-2)"
"li","Open House - 2017 (Day- 1)"
"a","Open House - 2017 (Day- 1)"
"li","Workshop on Entrepreneurship on 10th April'2017"
"a","Workshop on Entrepreneurship on 10th April'2017"
"li","Workshop on Group Discussion for B.E. 2nd year students- March ' 2017"
"li","Soft Skill Development Program - ""College to Corporate"" from 6th - 8th March'2017"
"a","Soft Skill Development Program - ""College to Corporate"" from 6th - 8th March'2017"
"li","TCS Best Student Award - 2017"
"a","TCS Best Student Award - 2017"
"li","Career Development Workshop by Ciz Disha on 7th Feb '2017"
"a","Career Development Workshop by Ciz Disha on 7th Feb '2017"
"li","SBI Bank conducted a workshop for the final year students for PO exam - Jan' 2017"
"a","SBI Bank conducted a workshop for the final year students for PO exam - Jan' 2017"
"li","Axis bank - launched a campaign for the students - Jan ' 2017"
"li","Goldman Sachs conducted a workshop for U.G Students - Dec'2017"
"li","Seminar on Motivational Skills- 2017"
"a","Seminar on Motivational Skills- 2017"
"li","Seminar on Scholarship to study abroad - 24th October 2016"
"a","Seminar on Scholarship to study abroad - 24th October 2016"
"li","Seminar on �Options to study In USA"" - 21st October' 2016"
"a","Seminar on �Options to study In USA"" - 21st October' 2016"
"li","Seminar on Scholarship options to study at Abroad on 4th October''2016"
"a","Seminar on Scholarship options to study at Abroad on 4th October''2016"
"li","Exl services conducted a workshop for 3rd year students in September � 2016"
"li","GRE Workshop - 27th Sept'2016"
"a","GRE Workshop - 27th Sept'2016"
"li","Code Rush 3.0 Programming Challenge - 17th Sept'2016"
"a","Code Rush 3.0 Programming Challenge - 17th Sept'2016"
"li","Workshop on Internship oportunities at International platform was organised on 6th May'2016"
"li","Finishing School Workshop on Soft Skills Development was organised for B.E. IInd yr Students on 19th & 20th March'2016"
"li","QEEE session - ""Institute to Industry"" organised on 18th March'2016"
"li","Workshop on ""Guaranteed Success"" on 19th February '2016 for 1st yr. Production dept. students"
"li","Seminar on ""Strength of Materials"" for final year students on 18th Feb'2016"
"li","Seminar on ""Power of Focus for Students"" on 5th & 10th Feb2016 at 11:00 am"
"li","Seminar on ""Higer Education in India & Abroad"" on 19th Jan'2016"
"li","Seminar on ""Higher Education and Research & Project Opportunities at Binghamton University"" on 30th Nov'2015"
"li","GRE Workshop held on 29th Sept'2015"
"li","Motivational Workshop & Counsellin Sessions for Ist year M.E. students on 7th ,8th ,9th & 10th Sept'2015"
"li","Finishing school Workshop held in the first week of August'2015"
"li","Motivational Lecture by Dr.Chhaya Sambharya Prasad on 09th October, 2016"
"section","Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits"
"h3","Research"
"span","Research"
"ul","Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects"
"li","Overview"
"a","Overview"
"li","Research Groups"
"a","Research Groups"
"li","Sponsored Research"
"a","Sponsored Research"
"li","Consultancy"
"a","Consultancy"
"li","Collaborations"
"a","Collaborations"
"li","In-House Projects"
"a","In-House Projects"
"h3","Academics"
"span","Academics"
"ul","Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme"
"li","Time Tables"
"a","Time Tables"
"li","Examination"
"a","Examination"
"li","Academic Calendar"
"a","Academic Calendar"
"li","Undergraduate Programme"
"a","Undergraduate Programme"
"li","Postgraduate Programme"
"a","Postgraduate Programme"
"li","PhD Programme"
"a","PhD Programme"
"h3","Facilities"
"span","Facilities"
"ul","Library Computer Centre Sports Hostels Medical Facility Workshops"
"li","Library"
"a","Library"
"li","Computer Centre"
"a","Computer Centre"
"li","Sports"
"a","Sports"
"li","Hostels"
"a","Hostels"
"li","Medical Facility"
"a","Medical Facility"
"li","Workshops"
"a","Workshops"
"h3","Information"
"span","Information"
"ul","E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits"
"li","E-Notices"
"a","E-Notices"
"li","Multimedia"
"a","Multimedia"
"li","Brochure & Prospectus"
"a","Brochure & Prospectus"
"li","CRIKC"
"a","CRIKC"
"li","Sexual Harassment Complaints"
"a","Sexual Harassment Complaints"
"li","Website Credits"
"a","Website Credits"
"section","Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"p","Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"ul","Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"li","Web Editor"
"a","Web Editor"
"li","Anti-Ragging"
"a","Anti-Ragging"
"li","Privacy Statement"
"a","Privacy Statement"
"li","Report Copyright Infringement"
"a","Report Copyright Infringement"
